search,replace
tomato,Solanum lycopersicum
potato,Solanum tuberosum
banana,Musa sp.
pineapple,Ananas comosus
corn,Zea mays
maize,Zea mays
chyrsanthemum,Chrysanthemum sp.
apple,Malus domestica
papaya,Carica papaya
cassava,Manihot esculenta
date palm,Phoenix dactylifera
peanut,Arachis hypogaea
rapeseed,Brassica napus
tobacco,Nicotiana tabacum
sorghum,Sorghum bicolor
broccoli,Brassica oleracea
rice,Oryza sativa
grape,Vitis vinifera
mint,Mentha sp.
sugarcane,Saccharum officinarum
sugar cane,Saccharum officinarum
coffee,Coffea sp.
garlic,Allium sativum
kiwi,Actinidia deliciosa
kiwifruit,Actinidia deliciosa
almond,Prunus dulcis
black walnut,Juglans nigra
walnut,Juglans
coconut,Cocos nucifera
mulberry,Morus sp.
pearl millet,Pennisetum glaucum
cork,Quercus suber
oak,Quercus
wheat,Triticum aestivum
barley,Hordeum vulgare
soybean,Glycine max
olive,Olea europaea
ginseng,Panax ginseng
artichoke,Cynara cardunculus
pear,Pyrus sp.
plum,Prunus sp.
strawberry,Fragaria x ananassa
apricot,Prunus armeniaca
onion,Allium sepa
rose,Rosa sp.
black pepper,Piper nigrum
pepper,Capsicum annuum
peach,Prunus persica
blackberry,Rubus sp.
orange,Citrus x sinensis
sour cherry,Prunus cerasus
norway spruce,Picea abies
sitka spruce,Picea sitchensis
douglas fir,Pseudotsuga menziesii
oil palm,Elaeis guineensis
alfalfa,Medicago sativa
sweet potato,Ipomoea batatas
sweetpotato,Ipomoea batatas
pumpkin,Cucurbita pepo
cucumber,Cucumis sativus
carrot,Daucus carota
blueberry,Vaccinium sp.
mulberries,Morus sp.
blueberries,Vaccinium sp.
blackberries,Rubus sp.
raspberry,Rubus sp.
orchid,Orchidaceae
chrysanthemum,Chrysanthemum
cotton,Gossypium
cocoa,Theobroma cacao
cherry,Prunus
sugar beet,Beta vulgaris
pistachio,Pistacia vera
cypress,Cupressus
azalea,Rhododendron
avocado,Persea americana
watermelon,Citrullus lanatus
hazelnut,Corylus
bamboo,Poaceae
asparagus,Asparagus officinalis
pomegranate,Punica granatum
cauliflower,Brassica oleracea
wisteria,Fabaceae
breadfruit,Artocarpus altilis
marigold,Tagetes
cabbage,Brassica oleracea
brazilian pine,Araucaria angustifolia
aspen,Populus
abrusprecatorius,Abrus precatorius
ocimwn,Ocimum
nyctanthesarbortristis,Nyctanthes arbor-tristis
doritaenopsis,Orchidaceae
capparidaceae,Capparaceae
cacti,Cactaceae
legume,Fabaceae
turmeric,Curcuma longa
willow,Salix
citrus,Citrus
carnation,Dianthus
agave,Agave
strawberries,Fragaria x ananassa
cherries,Prunus
lingonberry,Vaccinium
stryphnolobium,Styphnolobium
spinach,Spinacia
lettuce,Lactuca
tulip,Tulipa
lingonberries,Vaccinium
raspberries,Rubus sp.
acacia,Acacia
african violet,Streptocarpus
alexandrian laurel,Calophyllum inophyllum
horse chestnut,Aesculus hippocastanum
horse-chestnut,Aesculus hippocastanum
chestnut,Castanea
amla,Phyllanthus emblica
apricot,Prunus
aralia,Aralia
argan,Argania spinosa
babassu,Attalea speciosa
barberry,Berberis
basil,Ocimum
beet,Beta vulgaris
bermudagrasses,Cynodon dactylon
birch,Betula
blackcurrant,Ribes nigrum
brussels,Brassica oleracea
buckwheat,Fagopyrum
buffalograss,Bouteloua dactyloides
buffel grass,Cenchrus ciliaris
buffelgrass,Cenchrus ciliaris
bunchberry,Cornus canadensis
cacao,Theobroma cacao
celery,Apium graveolens
ceropegiaevansii,Ceropegia evansii
chickpea,Cicer arietinum
chicory,Cichorium 
citrange,Citrus
clover,Trifolium
cohosh,Actaea
cowpea,Vigna unguiculata
crataeva,Capparaceae
cumin,Cuminum cyminum
cyclamen,Cyclamen
cymbidiums,Cymbidium
cypress,Cupressus
daisy,Bellis
dates,Phoenix dactylifera
desert bitterbrush,Purshia glandulosa
dioscorea,Dioscorea
douglas-fir,Pseudotsuga menziesii
eggplant,Solanum melongena 
elm,Ulmus
eucalypt,Eucalypteae
fennel,Foeniculum
fescue,Festuca
field pea,Pisum
fig,Ficus carica
filbert,Corylus
flax,Linum usitatissimum
garlic,Allium sativum
gentian,Gentiana
geranium,Geranium
gerbera,Gerbera
ginger,Zingiber
gladiolus,Gladiolus
grapevine,Vitis vinifera
guar,Cyamopsis tetragonoloba
guava,Psidium
guayule,Parthenium argentatum
holly,Ilex
hop,Humulus lupulus
horseradish,Armoracia
jojoba,Simmondsia chinensis
kentucky coffeetree,Gymnocladus dioicus
mandarin,Citrus
larch,Larix
lemon,Citrus limon
lentil,Lens culinaris
lentisk,Pistacia lentiscus
leucaena,Leucaena
lilies,Lilium
lily,Lilium
litchi,Litchi
longan,Dimocarpus longan
loquat,Eriobotrya japonica
lupin,Lupinus
magnolia,Magnolia
mangaba,Hancornia
mango,Mangifera indica
mangosteen,Garcinia mangostana
maple,Acer
melon,Cucumis
menthaxpiperita,Mentha x piperita
millet,Poaceae
mangoes,Mangifera indica
miscanthusxgiganteus,Miscanthus x giganteus
pine,Pinus
mungbean,Vigna radiata
myrtle,Myrtus
ofdianthustaxa,of Dianthus taxa
orchardgrass,Dactylis glomerata
passion fruit,Passiflora edulis
patchouli,Pogostemon cablin
pea,Pisum
pearlbush,Exochorda
pecan,Carya
pejibaye,Bactris gasipaes
peppermint,Mentha
persimmon,Diospyros
physic nut,Jatropha curcas
pigeonpea,Cajanus cajan
pitaya,Cactaceae
poplar,Populus
potatoes,Solanum tuberosum
quince,Cydonia 
rauwolfia,Rauvolfia
red currant,Ribes rubrum
rhododentrons,Rhododendron
rosewood,Dalbergia
rye,Secale cereale
safflower,Carthamus tinctorius
saffron,Crocus sativus
sago palm,Cycas revoluta
saltbush,Atriplex
sea oat,Uniola paniculata
spruce,Picea
sunflower,Helianthus
switchgrass,Panicum virgatum
tamarind,Tamarindus
tea,Camellia sinensis
tomatoes,Solanum lycopersicum
tree peony,Paeonia
turnip,Brassica rapa
vetch,Vicia
waratah,Waratah
wasabi,Eutrema
yam,Dioscorea
zizyphus,Ziziphus
jambu,Syzygium
jackfruit,Artocarpus heterophyllus
