search,replace
embryo,Check-Embryo_or_InVitro
microspore,Check-Pollen_or_InVitro
dormant bud,Dormant Bud
axis,Embryo
isolated embryo,Embryo
zygotic embryo,Embryo
gametophyte,Fern
adventitious,In Vitro
apical meristem,In Vitro
apice,In Vitro
axillary bud,In Vitro
bud,In Vitro
callus,In Vitro
cell culture,In Vitro
cryobank,In Vitro
embryogenic,In Vitro
encapsulated,In Vitro
encapsulation,In Vitro
in vitro,In Vitro
meristem,In Vitro
micropropagation,In Vitro
nodal,In Vitro
node,In Vitro
plantlet,In Vitro
protocorm,In Vitro
protoplast,In Vitro
pvs2,In Vitro
regeneration,In Vitro
root tip,In Vitro
shoot apex,In Vitro
shoot primordia,In Vitro
shoot tip,In Vitro
shoot-tip,In Vitro
somatic,In Vitro
suspended ,In Vitro
suspension,In Vitro
virus eradication,In Vitro
vitrification,In Vitro
vitro,In Vitro
pollen,Pollen
cryostored grain,Seed
seed,Seed
