search,replace
cryogenic,Cryo
cryopreservation,Cryo
cryopreserve,Cryo
cryopreserved,Cryo
cryoprotectant,Cryo
cryotherapy,Cryo
frozen-thawed,Cryo
liquid nitrogen,Cryo
liquid-nitrogen,Cryo
sub-zero,Cryo
acclimatization,In Vitro
adventitious,In Vitro
airlift bioreactor,In Vitro
androgenesis,In Vitro
androgenic,In Vitro
anther,In Vitro
apical meristem,In Vitro
asymbiotic germination,In Vitro
axillary bud,In Vitro
bioreactor,In Vitro
biotechnology,In Vitro
calli,In Vitro
callus,In Vitro
cell culture,In Vitro
cell line,In Vitro
cell suspension,In Vitro
culture,In Vitro
culture medium,In Vitro
cultured,In Vitro
embryo,In Vitro
embryogenesis,In Vitro
embryogenic,In Vitro
encapsulated,In Vitro
explant,In Vitro
hairy root,In Vitro
hyperhydricity,In Vitro
inflorescence proliferation,In Vitro
lavendula cell,In Vitro
liquid culture,In Vitro
meristem,In Vitro
micro-propagation,In Vitro
microcallus,In Vitro
microculture,In Vitro
microcutting,In Vitro
micrografting,In Vitro
microplant,In Vitro
micropropagate,In Vitro
micropropagated,In Vitro
micropropagation,In Vitro
microprotoplast,In Vitro
microshoot,In Vitro
microspore,In Vitro
microtuber,In Vitro
micrpropagation,In Vitro
morphogenesis,In Vitro
morphogenic,In Vitro
ms medium,In Vitro
nodal,In Vitro
organogenesis,In Vitro
organogenic,In Vitro
ovary culture,In Vitro
plantlet,In Vitro
polyembryonic culture,In Vitro
protocorm,In Vitro
protoplast,In Vitro
pvs2,In Vitro
regenerate,In Vitro
regenerated,In Vitro
regeneration,In Vitro
regenerative,In Vitro
rhizome proliferation,In Vitro
root tip,In Vitro
shoot apex,In Vitro
shoot culture,In Vitro
shoot development,In Vitro
shoot formation,In Vitro
shoot induction,In Vitro
shoot meristem,In Vitro
shoot multiplication,In Vitro
shoot primordia,In Vitro
shoot production,In Vitro
shoot tip,In Vitro
shoot-tip,In Vitro
somaclonal variation,In Vitro
somatic,In Vitro
subculture,In Vitro
suspended cell,In Vitro
synthetic seed,In Vitro
temporary immersion bioreactor,In Vitro
temporary immersion system,In Vitro
test tube plant,In Vitro
thin cell layer,In Vitro
tissue culture,In Vitro
tissue line,In Vitro
transformation,In Vitro
vitrification,In Vitro
vitro,In Vitro
zygotic embryo,In Vitro
