seed_status,major_group,family,notes
seed,Angiosperms,Asphodelaceae,Added manually
seed,Angiosperms,Francoaceae,Added manually
seed,Angiosperms,Griseliniaceae,Added manually
seed,Angiosperms,Kewaceae,Added manually
seed,Angiosperms,Nyssaceae,Added manually
seed,Angiosperms,Petiveriaceae,Added manually
seed,Angiosperms,Ripogonaceae,Added manually
seed,Angiosperms,Viburnaceae,Added manually
seed,Angiosperms,Asteraceae,Added manually; Compositae in TPL
seed,Angiosperms,Compositae,
seed,Angiosperms,Leguminosae,
seed,Angiosperms,Fabaceae,Added manually; Leguminosae in TPL
non-seed,Bryophytes,Anomodontaceae,WFO
non-seed,Bryophytes,Braithwaiteaceae,WFO
non-seed,Bryophytes,Calliergonaceae,WFO
non-seed,Bryophytes,Distichiaceae,WFO
non-seed,Bryophytes,Flatbergiaceae,WFO
non-seed,Bryophytes,Helodiaceae,WFO
non-seed,Bryophytes,Hypodontiaceae,WFO
non-seed,Bryophytes,Leptostomataceae,WFO
non-seed,Bryophytes,Leucobryaceae,WFO
non-seed,Bryophytes,Miyabeaceae,WFO
non-seed,Bryophytes,Orthodontiaceae,WFO
non-seed,Bryophytes,Pterobryellaceae,WFO
non-seed,Bryophytes,Pulchrinodaceae,WFO
non-seed,Bryophytes,Pylaisiaceae,WFO
non-seed,Bryophytes,Pylaisiadelphaceae,WFO
non-seed,Bryophytes,Rhabdodontiaceae,WFO
non-seed,Bryophytes,Rhytidiaceae,WFO
non-seed,Bryophytes,Saelaniaceae,WFO
non-seed,Bryophytes,Saulomataceae,WFO
non-seed,Bryophytes,Schimperobryaceae,WFO
non-seed,Bryophytes,Scouleriaceae,WFO
non-seed,Bryophytes,Symphyodontaceae,WFO
non-seed,Bryophytes,Timmiellaceae,WFO
non-seed,Fungi?,Trachylomataceae,WFO
seed,Angiosperms,Alzateaceae,WFO
seed,Angiosperms,Crypteroniaceae,WFO
seed,Angiosperms,Heliotropiaceae,WFO
seed,Angiosperms,Macarthuriaceae,WFO
seed,Angiosperms,Maundiaceae,WFO
seed,Angiosperms,Mazaceae,WFO
seed,Angiosperms,Microteaceae,WFO
seed,Angiosperms,Stemodiopsis,WFO
non-seed,Bryophytes,Acrobolbaceae,
non-seed,Bryophytes,Adelanthaceae,
non-seed,Bryophytes,Allisoniaceae,
non-seed,Bryophytes,Amblystegiaceae,
non-seed,Bryophytes,Anastrophyllaceae,
non-seed,Bryophytes,Andreaeaceae,
non-seed,Bryophytes,Andreaeobryaceae,
non-seed,Bryophytes,Aneuraceae,
non-seed,Bryophytes,Antheliaceae,
non-seed,Bryophytes,Anthocerotaceae,
non-seed,Bryophytes,Archidiaceae,
non-seed,Bryophytes,Arnelliaceae,
non-seed,Bryophytes,Aulacomniaceae,
non-seed,Bryophytes,Aytoniaceae,
non-seed,Bryophytes,Balantiopsaceae,
non-seed,Bryophytes,Bartramiaceae,
non-seed,Bryophytes,Blasiaceae,
non-seed,Bryophytes,Brachytheciaceae,
non-seed,Bryophytes,Brevianthaceae,
non-seed,Bryophytes,Bruchiaceae,
non-seed,Bryophytes,Bryaceae,
non-seed,Bryophytes,Bryobartramiaceae,
non-seed,Bryophytes,Bryoxiphiaceae,
non-seed,Bryophytes,Buxbaumiaceae,
non-seed,Bryophytes,Calomniaceae,
non-seed,Bryophytes,Calymperaceae,
non-seed,Bryophytes,Calypogeiaceae,
non-seed,Bryophytes,Catagoniaceae,
non-seed,Bryophytes,Catoscopiaceae,
non-seed,Bryophytes,Cephaloziaceae,
non-seed,Bryophytes,Cephaloziellaceae,
non-seed,Bryophytes,Chaetophyllopsaceae,
non-seed,Bryophytes,Chonecoleaceae,
non-seed,Bryophytes,Cinclidotaceae,
non-seed,Bryophytes,Cleveaceae,
non-seed,Bryophytes,Climaciaceae,
non-seed,Bryophytes,Conocephalaceae,
non-seed,Bryophytes,Corsiniaceae,
non-seed,Bryophytes,Cryphaeaceae,
non-seed,Bryophytes,Cyrtopodaceae,
non-seed,Bryophytes,Daltoniaceae,
non-seed,Bryophytes,Dendrocerotaceae,
non-seed,Bryophytes,Dicnemonaceae,
non-seed,Bryophytes,Dicranaceae,
non-seed,Bryophytes,Diphysciaceae,
non-seed,Bryophytes,Disceliaceae,
non-seed,Bryophytes,Ditrichaceae,
non-seed,Bryophytes,Echinodiaceae,
non-seed,Bryophytes,Encalyptaceae,
non-seed,Bryophytes,Entodontaceae,
non-seed,Bryophytes,Ephemeraceae,
non-seed,Bryophytes,Erpodiaceae,
non-seed,Bryophytes,Eustichiaceae,
non-seed,Bryophytes,Exormothecaceae,
non-seed,Bryophytes,Fabroniaceae,
non-seed,Bryophytes,Fissidentaceae,
non-seed,Bryophytes,Fontinalaceae,
non-seed,Bryophytes,Fossombroniaceae,
non-seed,Bryophytes,Funariaceae,
non-seed,Bryophytes,Geocalycaceae,
non-seed,Bryophytes,Gigaspermaceae,
non-seed,Bryophytes,Goebeliellaceae,
non-seed,Bryophytes,Grimmiaceae,
non-seed,Bryophytes,Gymnomitriaceae,
non-seed,Bryophytes,Gyrothyraceae,
non-seed,Bryophytes,Haplomitriaceae,
non-seed,Bryophytes,Hedwigiaceae,
non-seed,Bryophytes,Helicophyllaceae,
non-seed,Bryophytes,Herbertaceae,
non-seed,Bryophytes,Hookeriaceae,
non-seed,Bryophytes,Hylocomiaceae,
non-seed,Bryophytes,Hymenophytaceae,
non-seed,Bryophytes,Hypnaceae,
non-seed,Bryophytes,Hypnodendraceae,
non-seed,Bryophytes,Hypopterygiaceae,
non-seed,Bryophytes,Jackiellaceae,
non-seed,Bryophytes,Jubulaceae,
non-seed,Bryophytes,Jubulopsaceae,
non-seed,Bryophytes,Jungermanniaceae,
non-seed,Bryophytes,Lejeuneaceae,
non-seed,Bryophytes,Lembophyllaceae,
non-seed,Bryophytes,Lepicoleaceae,
non-seed,Bryophytes,Lepidolaenaceae,
non-seed,Bryophytes,Lepidoziaceae,
non-seed,Bryophytes,Leptodontaceae,
non-seed,Bryophytes,Lepyrodontaceae,
non-seed,Bryophytes,Leskeaceae,
non-seed,Bryophytes,Leucodontaceae,
non-seed,Bryophytes,Leucomiaceae,
non-seed,Bryophytes,Lophocoleaceae,
non-seed,Bryophytes,Lophoziaceae,
non-seed,Bryophytes,Lunulariaceae,
non-seed,Bryophytes,Makinoaceae,
non-seed,Bryophytes,Marchantiaceae,
non-seed,Bryophytes,Mastigophoraceae,
non-seed,Bryophytes,Meesiaceae,
non-seed,Bryophytes,Mesoptychiaceae,
non-seed,Bryophytes,Meteoriaceae,
non-seed,Bryophytes,Metzgeriaceae,
non-seed,Bryophytes,Microtheciellaceae,
non-seed,Bryophytes,Mitteniaceae,
non-seed,Bryophytes,Mizutaniaceae,
non-seed,Bryophytes,Mniaceae,
non-seed,Bryophytes,Monocarpaceae,
non-seed,Bryophytes,Monocleaceae,
non-seed,Bryophytes,Monosoleniaceae,
non-seed,Bryophytes,Myriniaceae,
non-seed,Bryophytes,Myuriaceae,
non-seed,Bryophytes,Neckeraceae,
non-seed,Bryophytes,Neotrichocoleaceae,
non-seed,Bryophytes,Notothyladaceae,
non-seed,Bryophytes,Octoblepharaceae,
non-seed,Bryophytes,Oedipodiaceae,
non-seed,Bryophytes,Orthorrhynchiaceae,
non-seed,Bryophytes,Orthotrichaceae,
non-seed,Bryophytes,Oxymitraceae,
non-seed,Bryophytes,Pallaviciniaceae,
non-seed,Bryophytes,Pelliaceae,
non-seed,Bryophytes,Phyllodrepaniaceae,
non-seed,Bryophytes,Phyllogoniaceae,
non-seed,Bryophytes,Pilotrichaceae,
non-seed,Bryophytes,Plagiochilaceae,
non-seed,Bryophytes,Plagiotheciaceae,
non-seed,Bryophytes,Pleurophascaceae,
non-seed,Bryophytes,Pleuroziaceae,
non-seed,Bryophytes,Pleuroziopsaceae,
non-seed,Bryophytes,Polytrichaceae,
non-seed,Bryophytes,Porellaceae,
non-seed,Bryophytes,Pottiaceae,
non-seed,Bryophytes,Prionodontaceae,
non-seed,Bryophytes,Pseudoditrichaceae,
non-seed,Bryophytes,Pseudolepicoleaceae,
non-seed,Bryophytes,Pterigynandraceae,
non-seed,Bryophytes,Pterobryaceae,
non-seed,Bryophytes,Ptilidiaceae,
non-seed,Bryophytes,Ptychomitriaceae,
non-seed,Bryophytes,Ptychomniaceae,
non-seed,Bryophytes,Racopilaceae,
non-seed,Bryophytes,Radulaceae,
non-seed,Bryophytes,Regmatodontaceae,
non-seed,Bryophytes,Rhabdoweisiaceae,
non-seed,Bryophytes,Rhachitheciaceae,
non-seed,Bryophytes,Rhacocarpaceae,
non-seed,Bryophytes,Rhizogoniaceae,
non-seed,Bryophytes,Ricciaceae,
non-seed,Bryophytes,Riellaceae,
non-seed,Bryophytes,Rigodiaceae,
non-seed,Bryophytes,Rutenbergiaceae,
non-seed,Bryophytes,Scapaniaceae,
non-seed,Bryophytes,Schistochilaceae,
non-seed,Bryophytes,Schistostegaceae,
non-seed,Bryophytes,Scorpidiaceae,
non-seed,Bryophytes,Seligeriaceae,
non-seed,Bryophytes,Sematophyllaceae,
non-seed,Bryophytes,Serpotortellaceae,
non-seed,Bryophytes,Sorapillaceae,
non-seed,Bryophytes,Sphaerocarpaceae,
non-seed,Bryophytes,Sphagnaceae,
non-seed,Bryophytes,Spiridentaceae,
non-seed,Bryophytes,Splachnaceae,
non-seed,Bryophytes,Splachnobryaceae,
non-seed,Bryophytes,Stereophyllaceae,
non-seed,Bryophytes,Takakiaceae,
non-seed,Bryophytes,Targioniaceae,
non-seed,Bryophytes,Tetraphidaceae,
non-seed,Bryophytes,Thamnobryaceae,
non-seed,Bryophytes,Theliaceae,
non-seed,Bryophytes,Thuidiaceae,
non-seed,Bryophytes,Timmiaceae,
non-seed,Bryophytes,Trachypodaceae,
non-seed,Bryophytes,Treubiaceae,
non-seed,Bryophytes,Trichocoleaceae,
non-seed,Bryophytes,Trichotemnomataceae,
non-seed,Bryophytes,Vandiemeniaceae,
non-seed,Bryophytes,Vetaformaceae,
non-seed,Bryophytes,Viridivelleraceae,
non-seed,Bryophytes,Wardiaceae,
non-seed,Bryophytes,Wiesnerellaceae,
non-seed,Pteridophytes,Anemiaceae,
non-seed,Pteridophytes,Apleniaceae,
non-seed,Pteridophytes,Aspleniaceae,
non-seed,Pteridophytes,Athyriaceae,
non-seed,Pteridophytes,Blechnaceae,
non-seed,Pteridophytes,Cibotiaceae,
non-seed,Pteridophytes,Culcitaceae,
non-seed,Pteridophytes,Cyatheaceae,
non-seed,Pteridophytes,Cystodiaceae,
non-seed,Pteridophytes,Cystopteridaceae,
non-seed,Pteridophytes,Davalliaceae,
non-seed,Pteridophytes,Dennstaedtiaceae,
non-seed,Pteridophytes,Dicksoniaceae,
non-seed,Pteridophytes,Diplaziopsidaceae,
non-seed,Pteridophytes,Dipteridaceae,
non-seed,Pteridophytes,Dryopteridacae,
non-seed,Pteridophytes,Dryopteridaceae,
non-seed,Pteridophytes,Equisetaceae,
non-seed,Pteridophytes,Gleicheniaceae,
non-seed,Pteridophytes,Hymenophyllaceae,
non-seed,Pteridophytes,Hypodematiaceae,
non-seed,Pteridophytes,Isoetaceae,
non-seed,Pteridophytes,Lindsaeaceae,
non-seed,Pteridophytes,Lomariopsidaceae,
non-seed,Pteridophytes,Lonchitidaceae,
non-seed,Pteridophytes,Loxsomataceae,
non-seed,Pteridophytes,Lycopodiaceae,
non-seed,Pteridophytes,Lygodiaceae,
non-seed,Pteridophytes,Marattiaceae,
